,tconst,movieId,primaryTitle,startYear
0,tt0000005,95541,Blacksmith Scene,1893
1,tt0000008,88674,Edison Kinetoscopic Record of a Sneeze,1894
2,tt0000010,120869,Leaving the Factory,1895
3,tt0000012,98981,The Arrival of a Train,1896
4,tt0000014,113048,The Waterer Watered,1895
5,tt0000192,94431,"Ella Lola, a la Trilby",1898
6,tt0000417,32898,A Trip to the Moon,1902
7,tt0000439,49389,The Great Train Robbery,1903
8,tt0000942,114371,The Lonely Villa,1909
9,tt0001062,120803,Those Awful Hats,1909
10,tt10001062,120803,Episode #1.240,2018
11,tt0001105,109524,The Woman Always Pays,1910
12,tt0001223,93865,Frankenstein,1910
13,tt0001527,71472,The Cameraman's Revenge,1912
14,tt0002054,114199,A Beast at Bay,1912
15,tt10002054,114199,El pasado de Julia,2019
16,tt0002381,114376,The Musketeers of Pig Alley,1912
17,tt0002461,89323,The Life and Death of King Richard III,1912
18,tt0002544,126989,The Gardener,1912
19,tt10002544,126989,Instrucciones para empezar a hablar gallego,2019
20,tt0002844,100946,Fantômas: In the Shadow of the Guillotine,1913
21,tt10002844,100946,Episode #1.155,2015
22,tt0003014,82007,Ingeborg Holm,1913
23,tt10003014,82007,NYET! - a Brexit UK Border Farce,2019
24,tt0003419,86518,The Student of Prague,1913
25,tt0003489,90339,The Last Days of Pompeii,1913
26,tt0003643,66284,The Avenging Conscience: or 'Thou Shalt Not Kill',1914
27,tt0003740,74097,Cabiria,1914
28,tt10003740,74097,Episode #4.13,2017
29,tt0003772,111901,Cinderella,1914
30,tt10003772,111901,Till will weg,2019
31,tt0004008,127054,Gertie the Dinosaur,1914
32,tt10004008,127054,Traitors,2019
33,tt0004066,92883,Sealed Orders,1914
34,tt10004066,92883,Papaya Bull,2017
35,tt0004101,103040,His New Profession,1914
36,tt0004134,103424,Hypocrites,1915
37,tt10004134,103424,Episode dated 11 March 2019,2019
38,tt0004181,84852,Judith of Bethulia,1914
