,movieId,title,year,genre__(no genres listed),genre__Action,genre__Adventure,genre__Animation,genre__Children,genre__Comedy,genre__Crime,genre__Documentary,genre__Drama,genre__Fantasy,genre__Film-Noir,genre__Horror,genre__IMAX,genre__Musical,genre__Mystery,genre__Romance,genre__Sci-Fi,genre__Thriller,genre__War,genre__Western
3958,4052,Antitrust,2001,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0
3959,4053,Double Take,2001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3960,4054,Save the Last Dance,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
3962,4056,"Pledge, The",2001,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,4,0,0
3974,4068,Sugar & Spice,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3975,4069,"Wedding Planner, The",2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3979,4073,"Invisible Circus, The",2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4047,4141,Head Over Heels,2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4049,4143,Valentine,2001,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
4052,4146,"Million Dollar Hotel, The",2001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0
4054,4148,Hannibal,2001,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
4055,4149,Saving Silverman (Evil Woman),2001,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4056,4150,Signs & Wonders,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4059,4153,Down to Earth,2001,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0
4060,4154,Recess: School's Out,2001,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4061,4155,Sweet November,2001,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
4064,4158,Monkeybone,2001,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
4065,4159,3000 Miles to Graceland,2001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4067,4161,"Mexican, The",2001,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4068,4162,See Spot Run,2001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4069,4163,Carman: The Champion,2001,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4070,4164,"Caveman's Valentine, The",2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4072,4166,Series 7: The Contenders,2001,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4073,4167,15 Minutes,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
